,document_title,question_text,short_answer1,short_answer2,short_answer3,short_answer4,yes_no_answer1,yes_no_answer2,yes_no_answer3,yes_no_answer4
23,List of Chief Ministers of West Bengal,who was the first chief minister of west bengal,"{'end_byte': 60570, 'end_token': 360, 'start_byte': 60438, 'start_token': 352}","{'end_byte': 60460, 'end_token': 355, 'start_byte': 60438, 'start_token': 352}","{'end_byte': 60460, 'end_token': 355, 'start_byte': 60438, 'start_token': 352}","{'end_byte': 60460, 'end_token': 355, 'start_byte': 60438, 'start_token': 352}",NONE,NONE,NONE,NONE
24,Got My Mind Set on You,who sings got my mind set on you,"{'end_byte': 56137, 'end_token': 46, 'start_byte': 56128, 'start_token': 44}",,,,,,,
25,List of psychological research methods,two main types of research methods used in psychology,"{'end_byte': 51156, 'end_token': 396, 'start_byte': 51134, 'start_token': 394}","{'end_byte': 50490, 'end_token': 323, 'start_byte': 50456, 'start_token': 320}","{'end_byte': 50254, 'end_token': 312, 'start_byte': 50234, 'start_token': 310}",,NONE,NONE,NONE,
26,I Only Have Eyes for You (Buffy the Vampire Slayer),i only have eyes for you buffy episode,,,,,,,,
27,What We Do in the Shadows,who plays peter in what we do in the shadows,"{'end_byte': 55344, 'end_token': 1237, 'start_byte': 55332, 'start_token': 1235}","{'end_byte': 55344, 'end_token': 1237, 'start_byte': 55332, 'start_token': 1235}","{'end_byte': 55344, 'end_token': 1237, 'start_byte': 55332, 'start_token': 1235}","{'end_byte': 55344, 'end_token': 1237, 'start_byte': 55332, 'start_token': 1235}",NONE,NONE,NONE,NONE
28,Republic Day (India),who was the chief guest of india on independence day 2017,,,,,,,,
29,Grey's Anatomy (season 14),when does the 14th season of grey's anatomy come out,"{'end_byte': 45409, 'end_token': 227, 'start_byte': 45391, 'start_token': 223}","{'end_byte': 45409, 'end_token': 227, 'start_byte': 45391, 'start_token': 223}","{'end_byte': 45409, 'end_token': 227, 'start_byte': 45391, 'start_token': 223}","{'end_byte': 45409, 'end_token': 227, 'start_byte': 45391, 'start_token': 223}",NONE,NONE,NONE,NONE
30,The Hunger Games (novel),when was the first hunger games book published,"{'end_byte': 59040, 'end_token': 184, 'start_byte': 59036, 'start_token': 183}","{'end_byte': 57849, 'end_token': 102, 'start_byte': 57831, 'start_token': 98}","{'end_byte': 60980, 'end_token': 375, 'start_byte': 60962, 'start_token': 371}","{'end_byte': 59040, 'end_token': 184, 'start_byte': 59036, 'start_token': 183}",NONE,NONE,NONE,NONE
31,The Ocean at the End of the Lane,the ocen at the end of the lane,,,,,,,,
32,The Hound of the Baskervilles (2002 film),sherlock holmes hound of the baskervilles movie 2002,,,,,,,,
33,Non-volatile memory,which of the below feature makes the ram not suitable for the persistent storage,,,,,,,,
34,Belonging (album),keith jarrett's long as you know you're living yours,,,,,,,,
35,Adverse event,mandatory elements in the definition of an adverse event (ae),"{'end_byte': 43594, 'end_token': 160, 'start_byte': 43351, 'start_token': 119}",,,,,,,
36,National debt of the United States,how much is the united states in debt to china,"{'end_byte': 161535, 'end_token': 9527, 'start_byte': 161528, 'start_token': 9526}","{'end_byte': 58168, 'end_token': 792, 'start_byte': 58154, 'start_token': 790}","{'end_byte': 58168, 'end_token': 792, 'start_byte': 58154, 'start_token': 790}","{'end_byte': 58168, 'end_token': 792, 'start_byte': 58154, 'start_token': 790}",NONE,NONE,NONE,NONE
37,Grease (film),where did the race in grease take place,"{'end_byte': 54645, 'end_token': 914, 'start_byte': 54633, 'start_token': 912}","{'end_byte': 76734, 'end_token': 3611, 'start_byte': 76603, 'start_token': 3599}","{'end_byte': 76734, 'end_token': 3611, 'start_byte': 76600, 'start_token': 3598}","{'end_byte': 54645, 'end_token': 914, 'start_byte': 54633, 'start_token': 912}",NONE,NONE,NONE,NONE
38,IEEE 802.11,what is the maximum data rate for the 802.11a standard select one,"{'end_byte': 76620, 'end_token': 2276, 'start_byte': 76610, 'start_token': 2272}","{'end_byte': 76620, 'end_token': 2276, 'start_byte': 76610, 'start_token': 2272}","{'end_byte': 76620, 'end_token': 2276, 'start_byte': 76610, 'start_token': 2272}",,NONE,NONE,NONE,
39,Partial charge,use partial charges to indicate all polar bonds in the following molecules,,,,,,,,
40,Centipede,what is the life cycle of a centipede,,,,,,,,
41,List of Olympic Games host cities,where are the summer olympics held this year,,,,,,,,
42,Northern coast of Egypt,which is the nearest country north of egypt,,,,,,,,
43,Substitute good,a good that can be used in place of another good,"{'end_byte': 57519, 'end_token': 84, 'start_byte': 57504, 'start_token': 82}","{'end_byte': 57519, 'end_token': 84, 'start_byte': 57504, 'start_token': 82}","{'end_byte': 57519, 'end_token': 84, 'start_byte': 57504, 'start_token': 82}",,NONE,NONE,NONE,
44,Lord's Prayer,where in the bible can i find the lord's prayer,"{'end_byte': 147271, 'end_token': 178, 'start_byte': 147145, 'start_token': 166}",,,,,,,
45,Declaration on the Rights of Indigenous Peoples,what is the un declaration on the rights of indigenous peoples,,,,,,,,
46,United States presidential elections in Nebraska,when was the last time nebraska voted democrat,"{'end_byte': 65415, 'end_token': 709, 'start_byte': 65411, 'start_token': 708}",,,,,,,
47,Selena Gomez,what is selena gomez most popular tv show,,,,,,,,
48,Wipro,who become the ceo of it wipro company in 2016,"{'end_byte': 83967, 'end_token': 2352, 'start_byte': 83947, 'start_token': 2349}","{'end_byte': 83967, 'end_token': 2352, 'start_byte': 83947, 'start_token': 2349}","{'end_byte': 83967, 'end_token': 2352, 'start_byte': 83947, 'start_token': 2349}","{'end_byte': 83967, 'end_token': 2352, 'start_byte': 83947, 'start_token': 2349}",NONE,NONE,NONE,NONE
49,Electroencephalography,4 types of brain wave classifications as recognized by an eeg machine,,,,,,,,
50,2018 Winter Olympics,when do they announce the next winter olympics,,,,,,,,
51,List of regions of the United States,when was each region added to the united states,,,,,,,,
52,Eric van der Woodsen,who does eric end up with in gossip girl,"{'end_byte': 77348, 'end_token': 2578, 'start_byte': 77343, 'start_token': 2577}",,,,,,,
53,She's the Man,who plays unis in she's the man,"{'end_byte': 68199, 'end_token': 1318, 'start_byte': 68186, 'start_token': 1316}","{'end_byte': 68199, 'end_token': 1318, 'start_byte': 68186, 'start_token': 1316}","{'end_byte': 68199, 'end_token': 1318, 'start_byte': 68186, 'start_token': 1316}","{'end_byte': 68199, 'end_token': 1318, 'start_byte': 68186, 'start_token': 1316}",NONE,NONE,NONE,NONE
54,You Need a Mess of Help to Stand Alone (album),saint etienne you need a mess of help to stand alone,,,,,,,,
55,Jingle All the Way,who played booster in jingle all the way,"{'end_byte': 62002, 'end_token': 1955, 'start_byte': 61986, 'start_token': 1953}","{'end_byte': 62002, 'end_token': 1955, 'start_byte': 61986, 'start_token': 1953}",,,NONE,NONE,,
56,Politics of New Zealand,what does left and right mean in nz politics,,,,,,,,
57,Comedians in Cars Getting Coffee,season 10 of comedians in cars getting coffee,,,,,,,,
58,Dog and pony show,where does the term dog and pony show come from,"{'end_byte': 43538, 'end_token': 147, 'start_byte': 43476, 'start_token': 133}",,,,,,,
59,History of Islam,who is recognized as the founder of islam,"{'end_byte': 96964, 'end_token': 2200, 'start_byte': 96956, 'start_token': 2199}","{'end_byte': 96964, 'end_token': 2200, 'start_byte': 96894, 'start_token': 2196}","{'end_byte': 67296, 'end_token': 458, 'start_byte': 67288, 'start_token': 457}",,NONE,NONE,NONE,
60,Cars 3,where is cars 3 supposed to take place,,,,,,,,
61,Pixel,each dot that makes up a satellite image is called a pixel. true or false,,,,,,,,
62,Air Bud: World Pup,who plays emma in air bud world pup,"{'end_byte': 63426, 'end_token': 815, 'start_byte': 63406, 'start_token': 812}","{'end_byte': 63426, 'end_token': 815, 'start_byte': 63406, 'start_token': 812}","{'end_byte': 63426, 'end_token': 815, 'start_byte': 63406, 'start_token': 812}","{'end_byte': 63426, 'end_token': 815, 'start_byte': 63406, 'start_token': 812}",NONE,NONE,NONE,NONE
63,Kyoto,why do tokyo and kyoto have the same letters,,,,,,,,
64,Sasuke Uchiha,how old was sasuke when his clan died,"{'end_byte': 93156, 'end_token': 3015, 'start_byte': 93151, 'start_token': 3014}","{'end_byte': 93156, 'end_token': 3015, 'start_byte': 93151, 'start_token': 3014}","{'end_byte': 93156, 'end_token': 3015, 'start_byte': 93151, 'start_token': 3014}",,NONE,NONE,NONE,
65,Training camp (National Football League),how long is training camp for nfl players,"{'end_byte': 46334, 'end_token': 158, 'start_byte': 46306, 'start_token': 152}",,,,,,,
66,Speaker of the National Assembly of Pakistan,the last speaker of the national assembly during ayub’s government was,,,,,,,,
67,Air pollution,where do some of the natural air pollutants come from,"{'end_byte': 70527, 'end_token': 1026, 'start_byte': 70513, 'start_token': 1024}",,,,,,,
68,New Birth Missionary Baptist Church,who is the pastor of new birth missionary baptist church now,"{'end_byte': 58915, 'end_token': 434, 'start_byte': 58899, 'start_token': 431}","{'end_byte': 58915, 'end_token': 434, 'start_byte': 58899, 'start_token': 431}","{'end_byte': 58915, 'end_token': 434, 'start_byte': 58899, 'start_token': 431}","{'end_byte': 59034, 'end_token': 444, 'start_byte': 58899, 'start_token': 431}",NONE,NONE,NONE,NONE
69,Commonwealth (U.S. insular area),what's the difference between commonwealth and territory,,,,,,,,
70,Mountain biking,what are the different types of mountain biking,,,,,,,,
71,Canadian Tire money,how much canadian tire money do you get,,,,,,,,
72,Dara,what is the origin of the name dara,,,,,,,,
73,Super Bowl LII halftime show,who is doing 2018 super bowl half time show,"{'end_byte': 58098, 'end_token': 195, 'start_byte': 58081, 'start_token': 193}","{'end_byte': 58098, 'end_token': 195, 'start_byte': 58081, 'start_token': 193}","{'end_byte': 58098, 'end_token': 195, 'start_byte': 58081, 'start_token': 193}","{'end_byte': 56160, 'end_token': 70, 'start_byte': 56143, 'start_token': 68}",NONE,NONE,NONE,NONE
74,Super Bowl LII halftime show,who is playing the halftime show for the superbowl,"{'end_byte': 58079, 'end_token': 195, 'start_byte': 58062, 'start_token': 193}","{'end_byte': 58079, 'end_token': 195, 'start_byte': 58062, 'start_token': 193}",,,NONE,NONE,,
75,Document,collection of all types of documents used in the banks and office definition,,,,,,,,
76,2009 National Artist of the Philippines controversy,who is the national artist for visual who was conferred and died of the same year 1999,,,,,,,,
77,They Think It's All Over (TV series),who hosted they think it's all over,"{'end_byte': 45663, 'end_token': 456, 'start_byte': 45592, 'start_token': 453}","{'end_byte': 45663, 'end_token': 456, 'start_byte': 45651, 'start_token': 454}","{'end_byte': 39607, 'end_token': 71, 'start_byte': 39598, 'start_token': 69}",,NONE,NONE,NONE,
78,Proof of Life,where does the movie proof of life take place,"{'end_byte': 60679, 'end_token': 1594, 'start_byte': 60657, 'start_token': 1590}","{'end_byte': 51692, 'end_token': 580, 'start_byte': 51588, 'start_token': 571}","{'end_byte': 51692, 'end_token': 580, 'start_byte': 51588, 'start_token': 571}",,NONE,NONE,NONE,
79,Monkey's uncle,where did the saying monkey's uncle come from,"{'end_byte': 55195, 'end_token': 137, 'start_byte': 55158, 'start_token': 131}",,,,,,,
80,List of tie-breaking votes cast by vice presidents of the United States,who breaks a tie in the us senate,"{'end_byte': 73212, 'end_token': 357, 'start_byte': 73177, 'start_token': 351}","{'end_byte': 73212, 'end_token': 357, 'start_byte': 73077, 'start_token': 350}","{'end_byte': 73212, 'end_token': 357, 'start_byte': 73077, 'start_token': 350}","{'end_byte': 73212, 'end_token': 357, 'start_byte': 73177, 'start_token': 351}",NONE,NONE,NONE,NONE
81,Robin and the 7 Hoods,robin and the 7 hoods mr booze scene,,,,,,,,
82,Joule,derived s.i. unit of joule (j) in terms of fundamental units,,,,,,,,
83,Coming to America,where was the movie coming to america shot,,,,,,,,
84,U.S. Route 1,where does us highway 1 start and end,"{'end_byte': 53952, 'end_token': 389, 'start_byte': 53660, 'start_token': 370}","{'end_byte': 53860, 'end_token': 382, 'start_byte': 53660, 'start_token': 370}",,,NONE,NONE,,
85,Charlie's Angels: Full Throttle,who played in charlie's angels full throttle,,,,,,,,
86,List of National Basketball Association single-game scoring leaders,who scored the most points in a single game in the nba,"{'end_byte': 65473, 'end_token': 456, 'start_byte': 65457, 'start_token': 454}","{'end_byte': 65473, 'end_token': 456, 'start_byte': 65457, 'start_token': 454}","{'end_byte': 58616, 'end_token': 110, 'start_byte': 58600, 'start_token': 108}","{'end_byte': 58616, 'end_token': 110, 'start_byte': 58600, 'start_token': 108}",NONE,NONE,NONE,NONE
87,Natural gas in the United States,where is natural gas found in the us,"{'end_byte': 72476, 'end_token': 1235, 'start_byte': 72471, 'start_token': 1234}",,,,,,,
88,"Indian general election, 1951–52",when were the first general elections held in independent india,"{'end_byte': 62735, 'end_token': 223, 'start_byte': 62726, 'start_token': 220}","{'end_byte': 62735, 'end_token': 223, 'start_byte': 62726, 'start_token': 220}","{'end_byte': 62735, 'end_token': 223, 'start_byte': 62726, 'start_token': 220}",,NONE,NONE,NONE,
89,Tower of London,what was the tower of london originally used for,"{'end_byte': 153290, 'end_token': 487, 'start_byte': 153273, 'start_token': 484}","{'end_byte': 153290, 'end_token': 487, 'start_byte': 153273, 'start_token': 484}",,,NONE,NONE,,
90,Marjory Stoneman Douglas High School,stoneman douglas high school in parkland florida demographics,,,,,,,,
91,Zippo,what type of fuel goes in a zippo,"{'end_byte': 51465, 'end_token': 672, 'start_byte': 51459, 'start_token': 671}",,,,,,,
92,G. Sankara Kurup,first jnanpith award was an autor of which language,"{'end_byte': 46093, 'end_token': 251, 'start_byte': 46084, 'start_token': 250}","{'end_byte': 46093, 'end_token': 251, 'start_byte': 46084, 'start_token': 250}","{'end_byte': 46093, 'end_token': 251, 'start_byte': 46084, 'start_token': 250}","{'end_byte': 46093, 'end_token': 251, 'start_byte': 46084, 'start_token': 250}",NONE,NONE,NONE,NONE
93,War of the Worlds (2005 film),what happened to the son in war of the worlds,,,,,,,,
94,Karl Urban,who played scotty in the new star trek movie,,,,,,,,
95,Dennis Quaid,who played the agent in i can only imagine,,,,,,,,
96,List of Batman television series cast members,who played the mad hatter in the batman tv show,"{'end_byte': 57940, 'end_token': 881, 'start_byte': 57929, 'start_token': 879}","{'end_byte': 57940, 'end_token': 881, 'start_byte': 57929, 'start_token': 879}","{'end_byte': 57940, 'end_token': 881, 'start_byte': 57929, 'start_token': 879}","{'end_byte': 57940, 'end_token': 881, 'start_byte': 57929, 'start_token': 879}",NONE,NONE,NONE,NONE
97,Beep Beep (song),hey buddy how can i get this car out of second gear,,,,,,,,
98,Cracker Barrel,how many cracker barrels in the united states,"{'end_byte': 80065, 'end_token': 1448, 'start_byte': 80052, 'start_token': 1445}","{'end_byte': 64950, 'end_token': 354, 'start_byte': 64947, 'start_token': 353}","{'end_byte': 64950, 'end_token': 354, 'start_byte': 64947, 'start_token': 353}","{'end_byte': 64950, 'end_token': 354, 'start_byte': 64947, 'start_token': 353}",NONE,NONE,NONE,NONE
99,C4 carbon fixation,in photosynthesis the carbon in co2 is initially fixed to what molecule,,,,,,,,
100,F Is for Family,who voices randy in f is for family,"{'end_byte': 70823, 'end_token': 1112, 'start_byte': 70812, 'start_token': 1110}","{'end_byte': 70823, 'end_token': 1112, 'start_byte': 70812, 'start_token': 1110}","{'end_byte': 70823, 'end_token': 1112, 'start_byte': 70812, 'start_token': 1110}","{'end_byte': 70823, 'end_token': 1112, 'start_byte': 70812, 'start_token': 1110}",NONE,NONE,NONE,NONE
101,You Are the Apple of My Eye,you are the apple of my eye poster,,,,,,,,
102,The Lip Reader,who played the ice cream man in this is us,,,,,,,,
103,Cadbury,how many countries does cadbury sell its products,"{'end_byte': 45913, 'end_token': 213, 'start_byte': 45881, 'start_token': 208}","{'end_byte': 45913, 'end_token': 213, 'start_byte': 45881, 'start_token': 208}","{'end_byte': 45893, 'end_token': 211, 'start_byte': 45881, 'start_token': 208}",,NONE,NONE,NONE,
104,Western Conference (NBA),who is playing in the western conference finals,,,,,,,,
105,False awakening,what does it mean to dream about waking up,,,,,,,,
106,Ethiopian Airlines Flight 961,ethiopia flight 961 crashes in to the sea,,,,,,,,
107,ISTJ,what does istj mean in a personality test,,,,,,,,
108,A.P. Bio,who plays the ex girlfriend on ap bio,,,,,,,,
109,Vertebral column,where is the vertebral column located in the human body,,,,,,,,
110,Skin in the game (phrase),where does the term skin in the game come from,,,,,,,,
111,Mount St. Helens,where is mount st. helens located on a map,,,,,,,,
112,Great Wall of China,when was the great wall of cina built,,,,,,,,
113,Habitat fragmentation,extinction can be the result of habitat fragmentation,,,,,,,,
114,"Live by the sword, die by the sword",if you live by the sword you die by the sword lyrics,,,,,,,,
115,Weaver (surname),where did the last name weaver come from,,,,,,,,
116,Public land,list five types of public lands in the united states,,,,,,,,
117,Sing (2016 American film),who does the voice of ash in sing,"{'end_byte': 78583, 'end_token': 1496, 'start_byte': 78565, 'start_token': 1494}","{'end_byte': 78583, 'end_token': 1496, 'start_byte': 78565, 'start_token': 1494}","{'end_byte': 78583, 'end_token': 1496, 'start_byte': 78565, 'start_token': 1494}",,NONE,NONE,NONE,
118,"Paris Peace Conference, 1919",after wwi some colonies that had participated made demands for independence primarily because,,,,,,,,
119,1989 Loma Prieta earthquake,facts about the loma prieta earthquake of 1989,,,,,,,,
120,List of National Basketball Association career scoring leaders,who scored the most points in their nba career,"{'end_byte': 63776, 'end_token': 343, 'start_byte': 63757, 'start_token': 339}","{'end_byte': 63776, 'end_token': 343, 'start_byte': 63757, 'start_token': 339}","{'end_byte': 63776, 'end_token': 343, 'start_byte': 63757, 'start_token': 339}","{'end_byte': 63776, 'end_token': 343, 'start_byte': 63757, 'start_token': 339}",NONE,NONE,NONE,NONE
121,Seattle Seahawks,when did the 49ers last won a superbowl,,,,,,,,
122,List of U.S. states and territories by population density,with a land area of 54 314 square miles where does wisconsin rank among the 50 states,"{'end_byte': 112284, 'end_token': 1983, 'start_byte': 112282, 'start_token': 1982}",,,,,,,
123,Mary River (Queensland),where does the mary river start and finish,,,,,,,,
124,Mary's Boy Child,who sang mary's boy child in 1957 and 1978,,,,,,,,
125,The Haves and the Have Nots (TV series),who plays charles on have and have nots,"{'end_byte': 133514, 'end_token': 10498, 'start_byte': 133504, 'start_token': 10496}","{'end_byte': 79097, 'end_token': 1773, 'start_byte': 79087, 'start_token': 1771}","{'end_byte': 79097, 'end_token': 1773, 'start_byte': 79087, 'start_token': 1771}","{'end_byte': 133514, 'end_token': 10498, 'start_byte': 133504, 'start_token': 10496}",NONE,NONE,NONE,NONE
126,Nathan's Hot Dog Eating Contest,where is nathan's hotdog eating contest held,"{'end_byte': 44253, 'end_token': 201, 'start_byte': 43794, 'start_token': 168}","{'end_byte': 44253, 'end_token': 201, 'start_byte': 43794, 'start_token': 168}","{'end_byte': 44253, 'end_token': 201, 'start_byte': 43794, 'start_token': 168}","{'end_byte': 44253, 'end_token': 201, 'start_byte': 43794, 'start_token': 168}",NONE,NONE,NONE,NONE
127,My Country My Life,who wrote the book my country my life,"{'end_byte': 41455, 'end_token': 178, 'start_byte': 41062, 'start_token': 146}","{'end_byte': 41074, 'end_token': 148, 'start_byte': 41062, 'start_token': 146}","{'end_byte': 41074, 'end_token': 148, 'start_byte': 41062, 'start_token': 146}","{'end_byte': 41455, 'end_token': 178, 'start_byte': 41062, 'start_token': 146}",NONE,NONE,NONE,NONE
128,Parole,what does it mean to be on parole,"{'end_byte': 49089, 'end_token': 336, 'start_byte': 48924, 'start_token': 317}","{'end_byte': 49089, 'end_token': 336, 'start_byte': 48926, 'start_token': 318}",,,NONE,NONE,,
129,East India Company,when did the east india company take control of india,"{'end_byte': 69060, 'end_token': 893, 'start_byte': 69053, 'start_token': 891}","{'end_byte': 61681, 'end_token': 278, 'start_byte': 61677, 'start_token': 277}","{'end_byte': 69060, 'end_token': 893, 'start_byte': 69056, 'start_token': 892}",,NONE,NONE,NONE,
130,Stations of the Cross,the origins of the stations of the cross,"{'end_byte': 62834, 'end_token': 296, 'start_byte': 62615, 'start_token': 279}","{'end_byte': 72264, 'end_token': 654, 'start_byte': 72103, 'start_token': 644}",,,NONE,NONE,,
131,Lake Eyre,where does the water come from to fill lake eyre,"{'end_byte': 59126, 'end_token': 170, 'start_byte': 59111, 'start_token': 168}",,,,,,,
132,Area code 808,is area code 808 a toll free number,,,,,,,,
133,Google,who is the founder of google and when was it founded,"{'end_byte': 49425, 'end_token': 290, 'start_byte': 49421, 'start_token': 289}","{'end_byte': 49425, 'end_token': 290, 'start_byte': 49421, 'start_token': 289}",,,NONE,NONE,,
134,Tabula rasa,the tabula rasa concept is consistent with the perspective of language development,,,,,,,,
135,Dominican War of Independence,who did the dominican republic gain its independence from,"{'end_byte': 74780, 'end_token': 291, 'start_byte': 74775, 'start_token': 290}","{'end_byte': 74780, 'end_token': 291, 'start_byte': 74775, 'start_token': 290}","{'end_byte': 74780, 'end_token': 291, 'start_byte': 74775, 'start_token': 290}","{'end_byte': 74780, 'end_token': 291, 'start_byte': 74775, 'start_token': 290}",NONE,NONE,NONE,NONE
136,Prehistoric technology,how did early humans make use of stones during the prehistoric period,"{'end_byte': 44999, 'end_token': 124, 'start_byte': 44988, 'start_token': 122}",,,,,,,
137,Jeanie with the Light Brown Hair,who wrote the text for jeanie with the light brown hair,"{'end_byte': 57020, 'end_token': 110, 'start_byte': 57006, 'start_token': 108}","{'end_byte': 57020, 'end_token': 110, 'start_byte': 57006, 'start_token': 108}","{'end_byte': 57020, 'end_token': 110, 'start_byte': 57006, 'start_token': 108}","{'end_byte': 57020, 'end_token': 110, 'start_byte': 57006, 'start_token': 108}",NONE,NONE,NONE,NONE
138,Stefan Salvatore,who does stefan end up with in the vampire diaries,,,,,,,,
139,The Washington Post,who owns the washington post and new york times,,,,,,,,
140,Bed,how many types of bed sizes are there,,,,,,,,
141,Troubadour,who were the troubadours and what did they do,,,,,,,,
142,Rational planning model,the basic steps of rational decision making include defining goals and,"{'end_byte': 43106, 'end_token': 119, 'start_byte': 43062, 'start_token': 113}",,,,,,,
143,Art Deco,when was the design period known as art deco,"{'end_byte': 45764, 'end_token': 117, 'start_byte': 45753, 'start_token': 114}",,,,,,,
144,The Bob & Tom Show,where does the bob and tom show broadcast from,"{'end_byte': 44330, 'end_token': 163, 'start_byte': 44165, 'start_token': 158}","{'end_byte': 44330, 'end_token': 163, 'start_byte': 44117, 'start_token': 156}","{'end_byte': 44330, 'end_token': 163, 'start_byte': 44265, 'start_token': 160}",,NONE,NONE,NONE,
145,List of Star Wars: The Clone Wars episodes,star wars the clone wars season 3 episode 1,"{'end_byte': 119752, 'end_token': 6431, 'start_byte': 119740, 'start_token': 6429}",,,,,,,
146,Frontal lobe,what part of brain is responsible for complex thinking,"{'end_byte': 56389, 'end_token': 874, 'start_byte': 56373, 'start_token': 871}",,,,,,,
147,2016 UEFA Champions League Final,who won the champions league final in 2016,"{'end_byte': 47719, 'end_token': 285, 'start_byte': 47708, 'start_token': 283}","{'end_byte': 47719, 'end_token': 285, 'start_byte': 47708, 'start_token': 283}","{'end_byte': 47719, 'end_token': 285, 'start_byte': 47708, 'start_token': 283}","{'end_byte': 47390, 'end_token': 252, 'start_byte': 47379, 'start_token': 250}",NONE,NONE,NONE,NONE
148,Capital gains tax in the United States,what is the federal long term capital gains tax rate for 2017,,,,,,,,
149,Brooke Smith (actress),who played the girl in the pit in silence of the lambs,,,,,,,,
150,All-time Olympic Games medal table,who has the most gold medals in the winter olympics of all time,"{'end_byte': 133179, 'end_token': 5612, 'start_byte': 133173, 'start_token': 5611}","{'end_byte': 133179, 'end_token': 5612, 'start_byte': 133173, 'start_token': 5611}","{'end_byte': 133179, 'end_token': 5612, 'start_byte': 133173, 'start_token': 5611}",,NONE,NONE,NONE,
